name                               license period  license type  installed version  author
----                               --------------  ------------  -----------------  ------
tslib                              perpetual       0BSD          2.8.1              Microsoft Corp.
@angular-devkit/build-angular      perpetual       MIT           12.2.18            Angular Authors
@angular/cli                       perpetual       MIT           12.2.18            Angular Authors
@angular/common                    perpetual       MIT           12.2.17            angular
@angular/compiler                  perpetual       MIT           12.2.17            angular
@angular/compiler-cli              perpetual       MIT           12.2.17            n/a
@angular/core                      perpetual       MIT           12.2.17            angular
@angular/platform-browser          perpetual       MIT           12.2.17            angular
@angular/platform-browser-dynamic  perpetual       MIT           12.2.17            angular
@types/d3-brush                    perpetual       MIT           3.0.6              n/a
@types/d3-drag                     perpetual       MIT           3.0.7              n/a
@types/d3-geo                      perpetual       MIT           3.1.0              n/a
@types/d3-selection                perpetual       MIT           3.0.11             n/a
@types/d3-dispatch                 perpetual       MIT           3.0.6              n/a
@types/d3-zoom                     perpetual       MIT           3.0.8              n/a
@types/jasmine                     perpetual       MIT           3.6.11             n/a
@types/node                        perpetual       MIT           12.20.55           n/a
@types/topojson                    perpetual       MIT           3.2.6              n/a
@types/topojson-specification      perpetual       MIT           1.0.5              n/a
d3-selection                       perpetual       ISC           3.0.0              Mike Bostock https://bost.ocks.org/mike
elkjs                              perpetual       EPL-2.0       0.10.2             Ulf Rüegg uruurumail@gmail.com
jasmine-core                       perpetual       MIT           3.7.1              n/a
karma                              perpetual       MIT           6.3.20             Vojta Jína <vojta.jina@gmail.com>
karma-chrome-launcher              perpetual       MIT           3.1.1              Vojta Jina <vojta.jina@gmail.com>
karma-coverage                     perpetual       MIT           2.0.3              SATO taichi <ryushi@gmail.com>
karma-jasmine                      perpetual       MIT           4.0.2              Vojta Jina <vojta.jina@gmail.com>
karma-jasmine-html-reporter        perpetual       MIT           1.7.0
ng-packagr                         perpetual       MIT           12.2.7             David Herges <david@spektrakel.de>
rollup                             perpetual       MIT           2.79.2             Rich Harris
rollup-plugin-typescript2          perpetual       MIT           0.31.2             @ezolenko
typescript                         perpetual       Apache-2.0    4.2.4              Microsoft Corp.
webpack                            perpetual       MIT           5.76.0             Tobias Koppers @sokra
zone.js                            perpetual       MIT           0.14.10            Brian Ford
rxjs                               perpetual       Apache-2.0    6.6.7              Ben Lesh <ben@benlesh.com>
@types/d3-array                    perpetual       MIT           3.2.2              n/a
@emotion/css                       perpetual       MIT           11.13.5            Kye Hohenberger
topojson-client                    perpetual       ISC           3.1.0              Mike Bostock https://bost.ocks.org/mike
@emotion/cache                     perpetual       MIT           11.14.0            n/a
@emotion/serialize                 perpetual       MIT           1.3.3              n/a
@emotion/sheet                     perpetual       MIT           1.4.0              n/a
@angular/common                    perpetual       MIT           12.2.17            angular
@angular/compiler                  perpetual       MIT           12.2.17            angular
@angular/core                      perpetual       MIT           12.2.17            angular
rxjs                               perpetual       Apache-2.0    6.6.7              Ben Lesh <ben@benlesh.com>
d3-array                           perpetual       ISC           3.2.4              Mike Bostock http://bost.ocks.org/mike
