name                          license period  license type  installed version  author
----                          --------------  ------------  -----------------  ------
@rollup/plugin-node-resolve   perpetual       MIT           13.3.0             Rich Harris <richard.a.harris@gmail.com>
@types/node                   perpetual       MIT           16.11.17           n/a
@types/react                  perpetual       MIT           17.0.22            n/a
@vitejs/plugin-react          perpetual       MIT           4.3.4              Evan You
@zerollup/ts-transform-paths  perpetual       MIT           1.7.18             Stefan Zerkalica zerkalica@gmail.com
concurrently                  perpetual       MIT           9.1.2              Kimmo Brunfeldt
react                         perpetual       MIT           18.3.1             n/a
react-dom                     perpetual       MIT           18.3.1             n/a
rimraf                        perpetual       ISC           3.0.2              Isaac Z. Schlueter <i@izs.me> (http://blog.izs.me/)
rollup                        perpetual       MIT           2.79.2             Rich Harris
rollup-plugin-typescript2     perpetual       MIT           0.31.2             @ezolenko
tslib                         perpetual       0BSD          2.4.1              Microsoft Corp.
typescript                    perpetual       Apache-2.0    4.2.4              Microsoft Corp.
vite                          perpetual       MIT           6.2.2              Evan You
vite-plugin-dts               perpetual       MIT           3.5.4              qmhc
vite-plugin-externalize-deps  perpetual       MIT           0.9.0              David Myers <david@voracious.dev>
react                         perpetual       MIT           18.3.1             n/a
react-dom                     perpetual       MIT           18.3.1             n/a
