name                       license period  license type  installed version  author
----                       --------------  ------------  -----------------  ------
@angular/core              perpetual       MIT           19.2.18            angular
@angular/common            perpetual       MIT           19.2.18            angular
@angular/platform-browser  perpetual       MIT           19.2.18            angular
@unovis/angular            perpetual       Apache-2.0    1.6.2              Nikita Rokotyan, F5 Inc. <nikita@f5.com> (https://rokotyan.com)
@types/d3-scale            perpetual       MIT           4.0.9              n/a
@types/d3-selection        perpetual       MIT           3.0.11             n/a
tslib                      perpetual       0BSD          2.8.1              Microsoft Corp.
d3-format                  perpetual       ISC           3.1.2              Mike Bostock http://bost.ocks.org/mike
d3-scale                   perpetual       ISC           4.0.2              Mike Bostock https://bost.ocks.org/mike
d3-selection               perpetual       ISC           3.0.0              Mike Bostock https://bost.ocks.org/mike
solid-js                   perpetual       MIT           1.9.10             Ryan Carniato
typescript                 perpetual       Apache-2.0    5.5.4              Microsoft Corp.
d3-array                   perpetual       ISC           3.2.4              Mike Bostock http://bost.ocks.org/mike
@emotion/css               perpetual       MIT           11.13.5            Kye Hohenberger
