name                          license period  license type  installed version  author
----                          --------------  ------------  -----------------  ------
@unovis/shared                perpetual       Apache-2.0    1.6.2              Nikita Rokotyan, F5 Inc. <nikita@f5.com> (https://rokotyan.com)
@rollup/plugin-alias          perpetual       MIT           5.1.1              Johannes Stein
@rollup/plugin-node-resolve   perpetual       MIT           13.3.0             Rich Harris <richard.a.harris@gmail.com>
@sveltejs/package             perpetual       MIT           1.0.0-next.5       n/a
@tsconfig/svelte              perpetual       MIT           2.0.1              n/a
@zerollup/ts-transform-paths  perpetual       MIT           1.7.18             Stefan Zerkalica zerkalica@gmail.com
buffer-from                   perpetual       MIT           1.1.2              n/a
eslint-plugin-svelte          perpetual       MIT           2.46.1             Yosuke Ota (https://github.com/ota-meshi)
rollup                        perpetual       MIT           2.79.2             Rich Harris
rollup-plugin-copy            perpetual       MIT           3.5.0              Vlad Shcherbin <vlad.shcherbin@gmail.com>
rollup-plugin-livereload      perpetual       MIT           2.0.5              Thomas Ghysels <info@thomasg.be>
rollup-plugin-serve           perpetual       MIT           2.0.3              Thomas Ghysels <info@thomasg.be>
rollup-plugin-svelte          perpetual       MIT           7.2.3              Rich Harris
rollup-plugin-typescript2     perpetual       MIT           0.31.2             @ezolenko
rollup-plugin-commonjs        perpetual       MIT           10.1.0             Rich Harris
svelte                        perpetual       MIT           3.59.2             Rich Harris
svelte-check                  perpetual       MIT           2.10.3             The Svelte Community
svelte-preprocess             perpetual       MIT           4.10.7             Christian Kaisermann <christian@kaisermann.me>
tslib                         perpetual       0BSD          2.8.1              Microsoft Corp.
ttypescript                   perpetual       MIT           1.5.15             cevek
typescript                    perpetual       Apache-2.0    4.2.4              Microsoft Corp.
svelte                        perpetual       MIT           3.59.2             Rich Harris
