name                           license period  license type  installed version  author
----                           --------------  ------------  -----------------  ------
tslib                          perpetual       0BSD          2.3.1              Microsoft Corp.
@angular-devkit/build-angular  perpetual       MIT           12.0.3             Angular Authors
@angular/cli                   perpetual       MIT           12.0.3             Angular Authors
@angular/compiler-cli          perpetual       MIT           12.0.3             n/a
@compodoc/compodoc             perpetual       MIT           1.1.11             Vindent Ogloblinsky
@storybook/addon-actions       perpetual       MIT           6.3.8              n/a
@storybook/addon-docs          perpetual       MIT           6.3.8              n/a
@storybook/addon-essentials    perpetual       MIT           6.3.8              n/a
@storybook/addon-links         perpetual       MIT           6.3.8              n/a
@storybook/angular             perpetual       MIT           6.3.8              n/a
@storybook/builder-webpack5    perpetual       MIT           6.3.8              n/a
@storybook/manager-webpack5    perpetual       MIT           6.3.8              n/a
@types/jasmine                 perpetual       MIT           3.6.0              n/a
@types/node                    perpetual       MIT           12.11.1            n/a
jasmine-core                   perpetual       MIT           3.7.0              n/a
karma                          perpetual       MIT           6.3.0              Vojta Jína
karma-chrome-launcher          perpetual       MIT           3.1.0              Vojta Jina
karma-coverage                 perpetual       MIT           2.0.3              SATO taichi
karma-jasmine                  perpetual       MIT           4.0.0              Vojta Jina
karma-jasmine-html-reporter    perpetual       MIT           1.5.0              n/a
ng-packagr                     perpetual       MIT           12.0.0             David Herges
rollup                         perpetual       MIT           2.57.0             Rich Harris
rollup-plugin-typescript2      perpetual       MIT           0.30.0             @ezolenko
ttypescript                    perpetual       MIT           1.5.12             cevek
