name                              license period  license type  installed version  author
----                              --------------  ------------  -----------------  ------
lodash                            perpetual       MIT           4.17.21            John-David Dalton
@emotion/css                      perpetual       MIT           11.7.1             Kye Hohenberger
@rollup/plugin-node-resolve       perpetual       MIT           13.0.4             Rich Harris
@storybook/addon-actions          perpetual       MIT           6.4.9              n/a
@storybook/addon-docs             perpetual       MIT           6.4.9              n/a
@storybook/addon-essentials       perpetual       MIT           6.4.9              n/a
@storybook/addon-links            perpetual       MIT           6.4.9              n/a
@storybook/builder-webpack5       perpetual       MIT           6.4.9              n/a
@storybook/manager-webpack5       perpetual       MIT           6.4.9              n/a
@storybook/react                  perpetual       MIT           6.4.9              n/a
@types/react                      perpetual       MIT           17.0.22            n/a
@types/node                       perpetual       MIT           16.11.17           n/a
@zerollup/ts-transform-paths      perpetual       MIT           1.7.18             Stefan Zerkalica
react                             perpetual       MIT           >=16.8.0           n/a
react-dom                         perpetual       MIT           >=16.8.0           n/a
rimraf                            perpetual       ISC           3.0.2              Isaac Z. Schlueter
rollup                            perpetual       MIT           2.61.1             Rich Harris
rollup-plugin-peer-deps-external  perpetual       MIT           2.2.4              n/a
rollup-plugin-typescript2         perpetual       MIT           0.31.1             @ezolenko
tsconfig-paths-webpack-plugin     perpetual       MIT           3.5.2              Jonas Kello
tslib                             perpetual       0BSD          2.3.1              Microsoft Corp.
ttypescript                       perpetual       MIT           1.5.13             cevek
typescript                        perpetual       Apache-2.0    4.2.4              Microsoft Corp.
