name                            license period  license type  installed version  author
----                            --------------  ------------  -----------------  ------
@antfu/eslint-config            perpetual       MIT           0.41.4             Anthony Fu <anthonyfu117@hotmail.com> (https://github.com/antfu/)
@rollup/plugin-node-resolve     perpetual       MIT           13.3.0             Rich Harris <richard.a.harris@gmail.com>
@vitejs/plugin-vue              perpetual       MIT           4.4.0              Evan You
@vue/tsconfig                   perpetual       MIT           0.4.0              Haoqun Jiang <npm@haoqun.me>
de-indent                       perpetual       MIT           1.0.2              Evan You
jju                             perpetual       MIT           1.4.0              Alex Kocharin alex@kocharin.ru
rollup                          perpetual       MIT           2.75.5             Rich Harris
rollup-plugin-commonjs          perpetual       MIT           10.1.0             Rich Harris
rollup-plugin-typescript2       perpetual       MIT           0.31.2             @ezolenko
tslib                           perpetual       0BSD          2.6.2              Microsoft Corp.
typescript                      perpetual       Apache-2.0    4.2.4              Microsoft Corp.
vite                            perpetual       MIT           4.5.2              Evan You
vite-plugin-css-injected-by-js  perpetual       MIT           3.3.0              Marco Prontera
vite-plugin-dts                 perpetual       MIT           3.6.0              qmhc
vue                             perpetual       MIT           3.3.4              Evan You
vue-tsc                         perpetual       MIT           1.8.19             n/a
@unovis/ts                      perpetual       Apache-2.0    1.4.4              Nikita Rokotyan, F5 Inc. <nikita@f5.com> (https://rokotyan.com)
vue                             perpetual       MIT           3.3.4              Evan You
